"","LSOA11CD","LSOA11NM","WD17CD","WD17NM","LAD17NM"
"100","E01007337","Barnsley 015D","E05000976","Central","Barnsley"
"101","E01007338","Barnsley 017A","E05000976","Central","Barnsley"
"102","E01007339","Barnsley 017B","E05000976","Central","Barnsley"
"103","E01007340","Barnsley 013B","E05000985","Kingstone","Barnsley"
"104","E01007341","Barnsley 008A","E05000977","Cudworth","Barnsley"
"105","E01007342","Barnsley 003C","E05000977","Cudworth","Barnsley"
"106","E01007498","Doncaster 029C","E05010730","Balby South","Doncaster"
"107","E01007499","Doncaster 029D","E05010730","Balby South","Doncaster"
"108","E01007500","Doncaster 028B","E05010730","Balby South","Doncaster"
"109","E01007501","Doncaster 029E","E05010730","Balby South","Doncaster"
"110","E01007502","Doncaster 028C","E05010746","Tickhill & Wadsworth","Doncaster"
"111","E01007503","Doncaster 029F","E05010730","Balby South","Doncaster"
"112","E01007504","Doncaster 009F","E05010728","Adwick le Street & Carcroft","Doncaster"
"113","E01007505","Doncaster 013A","E05010731","Bentley","Doncaster"
"114","E01007506","Doncaster 010A","E05010731","Bentley","Doncaster"
"115","E01007507","Doncaster 009G","E05010728","Adwick le Street & Carcroft","Doncaster"
"116","E01007508","Doncaster 010B","E05010731","Bentley","Doncaster"
"117","E01007509","Doncaster 010C","E05010731","Bentley","Doncaster"
"118","E01007510","Doncaster 010D","E05010731","Bentley","Doncaster"
"119","E01007511","Doncaster 010E","E05010731","Bentley","Doncaster"
"120","E01007512","Doncaster 012A","E05010731","Bentley","Doncaster"
"121","E01007513","Doncaster 012B","E05010731","Bentley","Doncaster"
"122","E01007514","Doncaster 013B","E05010731","Bentley","Doncaster"
"123","E01007515","Doncaster 012C","E05010741","Roman Ridge","Doncaster"
"124","E01007516","Doncaster 013C","E05010731","Bentley","Doncaster"
"125","E01007517","Doncaster 013D","E05010731","Bentley","Doncaster"
"126","E01007518","Doncaster 012D","E05010741","Roman Ridge","Doncaster"
"127","E01007519","Doncaster 012E","E05010741","Roman Ridge","Doncaster"
"128","E01007520","Doncaster 027A","E05010732","Bessacarr","Doncaster"
"129","E01007521","Doncaster 025A","E05010732","Bessacarr","Doncaster"
"130","E01007522","Doncaster 024A","E05010732","Bessacarr","Doncaster"
"131","E01007523","Doncaster 025B","E05010732","Bessacarr","Doncaster"
"132","E01007524","Doncaster 025C","E05010732","Bessacarr","Doncaster"
"133","E01007525","Doncaster 024B","E05010732","Bessacarr","Doncaster"
"134","E01007526","Doncaster 025D","E05010732","Bessacarr","Doncaster"
"135","E01007527","Doncaster 027B","E05010732","Bessacarr","Doncaster"
"136","E01007528","Doncaster 024C","E05010732","Bessacarr","Doncaster"
"137","E01007529","Doncaster 022A","E05010738","Hexthorpe & Balby North","Doncaster"
"138","E01007530","Doncaster 022B","E05010747","Town","Doncaster"
"139","E01007531","Doncaster 022C","E05010738","Hexthorpe & Balby North","Doncaster"
"140","E01007532","Doncaster 023B","E05010747","Town","Doncaster"
"141","E01007533","Doncaster 023C","E05010738","Hexthorpe & Balby North","Doncaster"
"142","E01007534","Doncaster 028D","E05010738","Hexthorpe & Balby North","Doncaster"
"143","E01007535","Doncaster 023D","E05010738","Hexthorpe & Balby North","Doncaster"
"144","E01007536","Doncaster 032A","E05010733","Conisbrough","Doncaster"
